rest_name,rest_addr,city,phone,cuisine_type
arnie morton  s of chicago,435 s. la cienega blv .,los angeles,3102461501,american
       art  s delicatessen,    12224 ventura blvd.,studio city,8187621221,american
                 campanile,    624 s. la brea ave.,los angeles,2139381447,american
                     fenix, 8358 sunset blvd. west,  hollywood,2138486677,american
        grill on the alley,        9560 dayton way,los angeles,3102760615,american
 vivande porta via,   2125 fillmore st.,san francisco,4153464430, italian
vivande ristorante,670 golden gate ave.,san francisco,4156739245, italian
      world wrapps,   2257 chestnut st.,san francisco,4155639727,american
           wu kong,       101 spear st.,san francisco,4159579300,asian
         yank sing,     427 battery st.,san francisco,4155414949,asian
