y1_gpa,y2_gpa,y3_gpa,y4_gpa
2.785877,2.052513,2.170544,0.06557
1.144557,2.666498,0.267098,2.884737
0.907406,0.423634,2.613459,0.03095
2.205259,0.52358,3.984345,0.339289
2.877876,1.287922,3.077589,0.901994
1.692426,2.646257,2.295096,3.500498
3.923057,3.386025,0.410541,1.454305
2.739319,2.213029,2.799336,2.15984
1.923728,3.41781,2.644671,2.272413
1.56847,1.539351,0.196389,0.901853
1.372712,1.267152,3.169197,2.288587
2.916199,1.417059,2.074866,2.643807
1.754289,0.684327,1.703471,1.192982
0.238712,3.316451,3.152749,1.674507
1.592177,1.354683,1.646277,1.812356
2.951982,2.20948,1.924105,3.729403
0.729967,2.314206,0.726515,2.349975
0.701807,2.086132,1.285276,3.793009
2.126205,0.010752,3.382132,2.224139
2.12731,3.953382,0.747615,2.002246
2.537604,3.621366,1.669164,0.014129
3.397727,0.830543,3.956138,1.923556
2.897821,1.169958,0.946399,3.70982
2.444094,2.080041,3.667329,0.793463
2.889774,3.607645,3.67359,0.208365
1.291836,3.934524,0.365185,1.627116
1.447155,1.030168,1.854611,1.489586
0.913053,2.257436,2.008865,3.428612
1.174856,3.227875,1.254676,0.106444
2.523904,1.57748,0.189358,3.680597
0.38285,3.006576,1.124939,3.648528
3.541307,0.316596,1.449107,2.322853
2.508996,3.437556,0.023771,0.930746
2.893665,3.286016,1.462877,2.986791
0.064517,3.639487,2.135544,3.111076
2.377728,0.514525,0.648063,0.801605
2.227141,0.32712,2.389732,3.282297
0.635839,0.553662,1.17261,1.859739
0.612282,1.597515,2.528202,3.119067
2.782118,1.697227,0.104786,0.949913
1.275066,2.248874,3.550374,1.330321
2.767881,0.488974,0.064475,3.814788
2.217533,0.805598,0.507832,2.63126
1.555802,3.246577,3.10865,3.091511
3.70053,1.87195,0.183581,2.753497
3.36668,3.231753,2.843995,0.817216
1.42959,0.029706,3.884185,1.882755
0.174366,2.206371,3.486732,3.235855
1.219072,3.727729,2.840647,2.700141
1.592743,2.328702,3.834039,0.024112
2.819835,0.824383,1.719253,0.349631
3.981434,2.87103,3.491516,1.387179
1.423659,1.515943,1.423831,3.777462
3.050191,2.673536,3.719055,1.964762
2.372708,0.117279,0.595111,1.080705
2.766807,2.543601,3.760116,1.441695
0.60451,0.128792,3.330865,0.842611
1.595505,2.979123,3.384219,1.6848
0.963424,1.891652,0.495692,0.872142
1.373824,0.487017,2.385948,3.38301
